token,{{CAND-Q2WN}}
i,ms
1,55.19
2,0.49
3,0.4
4,0.49
5,0.32
6,0.45
7,0.42
8,0.41
9,0.45
10,0.42
11,0.42
12,0.48
13,0.53
14,0.5
15,0.51
16,0.53
17,0.64
18,0.62
19,0.62
20,1.37
21,1.33
22,2.31
23,1.33
24,1.31
25,1.18
26,1.37
27,1.17
28,0.91
29,0.81
30,1.05
31,0.81
32,1.06
33,1.74
34,1.46
35,1.89
36,0.61
37,6.47
38,1.48
39,0.89
40,1.62
41,0.72
42,0.62
43,0.55
44,0.55
45,0.52
46,0.54
47,0.83
48,0.91
49,0.66
50,0.7
token,{{CAND-Q2WN}}
i,ms
1,110.06
2,18.04
3,17.97
4,18.15
5,17.61
6,17.7
7,17.57
8,17.41
9,17.58
10,17.51
11,17.8
12,17.97
13,17.87
14,19.08
15,17.93
16,18.01
17,17.97
18,17.77
19,17.63
20,17.68
21,25.59
22,18.6
23,18.06
24,17.99
25,17.72
26,17.54
27,17.54
28,17.87
29,17.57
30,17.17
31,17.78
32,16.89
33,17.27
34,17.14
35,17.52
36,17.37
37,17.7
38,17.6
39,17.6
40,17.98
41,17.89
42,17.5
43,17.75
44,17.48
45,17.46
46,17.66
47,18.1
48,17.9
49,17.58
50,17.6
